Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
"Korea, Dem. Rep.",PRK,2008,YR2008,6.17,25.0327014923096,25.0327014923096,25.0327014923096,..,14068,60.6248653307477,73518.77,10.1982575039536,23205,720895.407588
"Korea, Dem. Rep.",PRK,2009,YR2009,6.8,26,26,26,..,12500,59.1659961187107,69477.5,12.3073498438865,21127,564520.395384
"Korea, Dem. Rep.",PRK,2010,YR2010,7.29,28.5193710327148,28.5193710327148,28.5193710327148,..,13400,61.8537666174298,72020.56,13.4749488975869,21664,534477.425832
"Korea, Dem. Rep.",PRK,2011,YR2011,7.81,30.2867374420166,30.2867374420166,30.2867374420166,..,13200,68.6570269426818,71662.65,18.081567355131,19226,396329.856768
"Korea, Dem. Rep.",PRK,2012,YR2012,8.38,32.0661201477051,32.0661201477051,32.0661201477051,..,13500,70.1809107922645,72653.18,17.6917390291291,19236,410661.608112
"Korea, Dem. Rep.",PRK,2013,YR2013,8.89,33.8545112609863,33.8545112609863,33.8545112609863,..,13900,75.8236962688195,73859.36,23.8072942574963,18332,310238.363088
"Korea, Dem. Rep.",PRK,2014,YR2014,9.71,35.6489143371582,35.6489143371582,35.6489143371582,..,13000,72.589200960411,71621.35,21.0331869949215,17909,340515.919044
"Korea, Dem. Rep.",PRK,2015,YR2015,10.08,37.4463195800781,37.4463195800781,37.4463195800781,..,10000,72.7960981291403,63731.34,23.1232614917341,13737,275615.704224
"Korea, Dem. Rep.",PRK,2016,YR2016,10.8,39.2442245483398,39.2442245483398,39.2442245483398,..,..,..,..,..,..,..
"Korea, Rep.",KOR,1990,YR1990,..,..,..,..,7.50756669416874,6362,6.0377143616365,39753.07,1.63194686718062,105371,2435929.183692
"Korea, Rep.",KOR,1991,YR1991,..,..,..,..,7.3551856651229,3487,3.07889276411637,25063.29,0.955805367024804,113255,2622216.9141
"Korea, Rep.",KOR,1992,YR1992,..,..,..,..,7.72055096010217,3099,2.49107745731648,21160.78,0.752919687541883,124404,2810496.305268
"Korea, Rep.",KOR,1993,YR1993,..,..,..,..,8.14506770845545,4230,2.95731813891705,22430.65,0.725978660342439,143035,3089712.029472
"Korea, Rep.",KOR,1994,YR1994,..,..,..,..,7.95156445444713,2349,1.45211542741277,14810.3,0.441574756938943,161764,3353973.425172
"Korea, Rep.",KOR,1995,YR1995,..,100,100,100,8.00087219669873,3012,1.66281143210463,16284.88,0.443590287348248,181139,3671153.418924
